"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","A[name]","A[address]","A[IBAN]","A[date]","A[EUR]","A[description]","eq",unique
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Giorgio","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",1
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","John","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",2
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51",,"Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",3
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","Mary","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",4
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Matt","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",5
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","Josh","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",6
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Eliza","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",7
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Giorgio","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",8
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","John","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",9
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51",,"Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",10
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","Mary","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",11
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Matt","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",12
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","Josh","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",13
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Eliza","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",14
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Giorgio","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",15
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","John","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",16
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51",,"Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",17
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","Mary","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",18
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Matt","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",19
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","Josh","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",20
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Eliza","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",21
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Giorgio","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",22
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","John","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",23
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51",,"Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",24
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","Mary","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",25
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Matt","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",26
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","Josh","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",27
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Eliza","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",28
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Giorgio","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",29
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","John","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",30
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51",,"Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",31
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","Mary","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",32
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Matt","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",33
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","Josh","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",34
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Eliza","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",35
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Giorgio","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",36
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","John","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",37
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51",,"Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",38
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","Mary","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",39
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Matt","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",40
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","Josh","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",41
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Eliza","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",42
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Giorgio","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",43
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","John","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",44
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51",,"Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",45
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","Mary","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",46
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Matt","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",47
"13","2020-05-18 11:57:39","1","de","941902747","2020-05-18 11:57:03","2020-05-18 11:57:39","Josh","Strasse 23c","DE2323Z23G232323232323","10-10-1010","7","This is fixed","7  This is fixed",48
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Eliza","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",49
"12","2020-05-18 11:56:51","1","de","191485478","2020-05-18 11:56:22","2020-05-18 11:56:51","Giorgio","Strasse 1b","DE12Q12121212T12321212","11-11-1111","7","This is fixed","7  This is fixed",50
